population,cycle,hamming_weight,a_sh0_r,a_sh1_r,b_sh0_r,b_sh1_r,term_sh0,term_cross01,term_cross10,term_sh1,t0_sh0,t0_sh1
0,322,4,0,0,1,1,0,0,0,0,1,1
0,323,10,1,1,1,1,1,1,1,1,0,0
0,324,4,1,1,0,0,0,0,0,0,1,1
0,325,6,0,0,1,1,0,0,0,0,1,1
0,326,6,0,0,1,1,0,0,0,0,1,1
0,327,6,0,0,1,1,0,0,0,0,1,1
0,328,2,0,0,0,0,0,0,0,0,0,0
0,329,0,0,0,0,0,0,0,0,0,0,0
0,330,2,0,0,1,1,0,0,0,0,0,0
0,331,0,0,0,0,0,0,0,0,0,0,0
0,332,2,0,0,0,0,0,0,0,0,1,1
0,333,2,0,0,0,0,0,0,0,0,0,0
0,334,0,0,0,0,0,0,0,0,0,0,0
0,335,0,0,0,0,0,0,0,0,0,0,0
0,336,2,1,1,0,0,0,0,0,0,0,0
0,337,2,0,0,1,1,0,0,0,0,0,0
0,338,8,1,1,1,1,1,1,1,1,0,0
0,339,10,1,1,1,1,1,1,1,1,1,1
0,340,4,0,0,0,0,0,0,0,0,1,1
0,341,4,0,0,1,1,0,0,0,0,0,0
0,342,8,1,1,1,1,1,1,1,1,0,0
0,343,0,0,0,0,0,0,0,0,0,0,0
0,344,10,1,1,1,1,1,1,1,1,1,1
0,345,4,0,0,1,1,0,0,0,0,0,0
0,346,0,0,0,0,0,0,0,0,0,0,0
0,347,2,1,1,0,0,0,0,0,0,0,0
0,348,4,1,1,0,0,0,0,0,0,1,1
0,349,6,1,1,0,0,0,0,0,0,1,1
0,350,10,1,1,1,1,1,1,1,1,0,0
0,351,0,0,0,0,0,0,0,0,0,0,0
0,352,2,0,0,0,0,0,0,0,0,1,1
0,353,4,1,1,0,0,0,0,0,0,0,0
0,354,8,1,1,1,1,1,1,1,1,0,0
0,355,2,0,0,1,1,0,0,0,0,0,0
0,356,2,1,1,0,0,0,0,0,0,0,0
0,357,2,0,0,1,1,0,0,0,0,0,0
0,358,0,0,0,0,0,0,0,0,0,0,0
0,359,2,1,1,0,0,0,0,0,0,0,0
0,360,2,0,0,1,1,0,0,0,0,0,0
0,361,8,1,1,1,1,1,1,1,1,0,0
0,362,2,1,1,0,0,0,0,0,0,0,0
0,363,2,1,1,0,0,0,0,0,0,0,0
0,364,2,0,0,1,1,0,0,0,0,0,0
0,365,4,0,0,1,1,0,0,0,0,1,1
0,366,12,1,1,1,1,1,1,1,1,1,1
0,367,4,1,1,0,0,0,0,0,0,0,0
0,368,2,0,0,0,0,0,0,0,0,1,1
0,369,4,1,1,0,0,0,0,0,0,0,0
0,370,4,0,0,1,1,0,0,0,0,1,1
0,371,2,0,0,0,0,0,0,0,0,0,0
0,372,0,0,0,0,0,0,0,0,0,0,0
0,373,0,0,0,0,0,0,0,0,0,0,0
0,374,4,1,1,0,0,0,0,0,0,1,1
0,375,6,0,0,1,1,0,0,0,0,1,1
0,376,4,1,1,0,0,0,0,0,0,0,0
0,377,2,0,0,1,1,0,0,0,0,0,0
0,378,2,1,1,0,0,0,0,0,0,0,0
0,379,8,1,1,1,1,1,1,1,1,0,0
0,380,4,0,0,1,1,0,0,0,0,1,1
0,381,4,1,1,0,0,0,0,0,0,0,0
0,382,0,0,0,0,0,0,0,0,0,0,0
0,383,0,0,0,0,0,0,0,0,0,0,0
0,384,0,0,0,0,0,0,0,0,0,0,0
0,385,0,0,0,0,0,0,0,0,0,0,0
0,386,0,0,0,0,0,0,0,0,0,0,0
0,387,4,0,0,1,1,0,0,0,0,1,1
0,388,2,0,0,0,0,0,0,0,0,0,0
0,389,10,1,1,1,1,1,1,1,1,1,1
0,390,4,1,1,0,0,0,0,0,0,0,0
0,391,2,1,1,0,0,0,0,0,0,0,0
0,392,2,0,0,1,1,0,0,0,0,0,0
0,393,4,0,0,1,1,0,0,0,0,1,1
0,394,2,0,0,0,0,0,0,0,0,0,0
0,395,10,1,1,1,1,1,1,1,1,1,1
0,396,6,0,0,1,1,0,0,0,0,1,1
0,397,10,1,1,1,1,1,1,1,1,0,0
0,398,2,1,1,0,0,0,0,0,0,0,0
0,399,2,0,0,0,0,0,0,0,0,1,1
0,400,12,1,1,1,1,1,1,1,1,1,1
0,401,2,0,0,0,0,0,0,0,0,0,0
0,402,2,0,0,1,1,0,0,0,0,0,0
0,403,2,0,0,1,1,0,0,0,0,0,0
0,404,4,0,0,1,1,0,0,0,0,1,1
0,405,6,1,1,0,0,0,0,0,0,1,1
0,406,4,0,0,1,1,0,0,0,0,0,0
0,407,10,1,1,1,1,1,1,1,1,1,1
0,408,12,1,1,1,1,1,1,1,1,1,1
0,409,6,1,1,0,0,0,0,0,0,1,1
0,410,4,0,0,0,0,0,0,0,0,1,1
0,411,2,0,0,0,0,0,0,0,0,0,0
0,412,4,0,0,1,1,0,0,0,0,1,1
0,413,6,1,1,0,0,0,0,0,0,1,1
0,414,12,1,1,1,1,1,1,1,1,1,1
